id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
2159,73,male,other,not hispanic,yes,bachelor's,married,2,retired,,middle class,buddhism,nearly every week,"independent, close to democrat","moderate, middle of the road",west,0.4668
2160,63,male,black,not hispanic,no,high school,divorced,2,working full time,"$130,000 to $149,999",middle class,protestant,about once or twice a year,strong democrat,slightly liberal,west,0.4263
2161,,female,other,not hispanic,no,less than high school,married,2,working full time,,working class,catholic,several times a year,"independent (neither, no response)",,west,1.9235
2162,30,female,other,not hispanic,no,bachelor's,never married,0,working full time,"$75,000 to $89,999",working class,protestant,every week,"independent (neither, no response)",liberal,west,1.2042
2163,21,female,white,not hispanic,no,high school,never married,0,in school,"$35,000 to $39,999",working class,protestant,several times a week,not very strong democrat,slightly liberal,south,0.9156
2164,37,male,white,not hispanic,yes,bachelor's,never married,0,"unemployed, laid off, looking for work","$20,000 to $22,499",lower class,protestant,nearly every week,"independent (neither, no response)","moderate, middle of the road",south,0.3198
2165,21,male,white,puerto rican,yes,high school,never married,0,in school,"$25,000 to $29,999",working class,protestant,about once or twice a year,other party,"moderate, middle of the road",south,2.0378
2166,63,male,white,not hispanic,yes,high school,divorced,3,in school,,lower class,orthodox-christian,several times a week,"independent, close to republican","moderate, middle of the road",south,0.384
2167,23,female,white,not hispanic,yes,high school,never married,0,in school,,working class,protestant,2-3 times a month,"independent, close to republican","moderate, middle of the road",south,0.4259
2168,,female,white,not hispanic,yes,high school,never married,0,in school,,working class,protestant,about once a month,strong republican,conservative,south,1.5182
2169,24,female,white,not hispanic,yes,associate/junior college,married,0,"with a job, but not at work because of temporary illness, vacation, strike","$50,000 to $59,999",working class,protestant,nearly every week,"independent, close to republican","moderate, middle of the road",south,0.4785
2170,24,female,black,not hispanic,yes,high school,never married,0,working part time,"$8,000 to $9,999",working class,protestant,every week,not very strong democrat,slightly liberal,south,0.3853
2171,28,male,white,not hispanic,yes,high school,married,0,working full time,"$75,000 to $89,999",working class,protestant,every week,not very strong republican,"moderate, middle of the road",south,2.6588
2172,19,female,white,"another hispanic, latino, or spanish origin",yes,high school,never married,0,in school,,working class,protestant,2-3 times a month,strong republican,extremely conservative,south,0.3668
2173,46,male,black,not hispanic,yes,high school,married,4,working full time,"$110,000 to $129,999",middle class,none,less than once a year,"independent (neither, no response)","moderate, middle of the road",south,3.3308
2174,54,female,black,not hispanic,yes,graduate,married,2,working full time,"$170,000 or over",middle class,protestant,2-3 times a month,strong democrat,liberal,south,1.2142
2175,52,female,white,not hispanic,yes,high school,married,5,working part time,"$90,000 to $109,999",middle class,christian,2-3 times a month,strong republican,conservative,south,0.7586
